ticker,n_quotes,avg_iv,best_bucket,best_bucket_avg_pnl,best_bucket_avg_pnl_pct,best_bucket_avg_spread,best_bucket_avg_spread_pct,latest_price
ABTC,22,155%,0.0-0.5%,$0.40,35.40%,$-0.15,-13.27%,$1.13
ABVX,180,96%,1.0-1.5%,$2.52,2.01%,$7.50,6.00%,$124.99
ABAT,45,141%,0.5-1.0%,$0.22,5.70%,$0.00,0.00%,$3.80
ABR,206,58%,3.5-4.0%,$-0.14,-1.82%,$0.13,1.68%,$7.72
ACHR,505,91%,4.0-4.5%,$0.14,2.05%,$0.30,4.43%,$6.77
ACI,171,43%,4.5-5.0%,$0.14,0.74%,$0.20,1.08%,$18.57
AAOI,1410,115%,0.0-0.5%,$0.54,1.21%,$2.15,4.84%,$44.46
AAL,2691,58%,3.0-3.5%,$0.07,0.51%,$0.54,3.89%,$13.88
ABBV,2841,35%,4.5-5.0%,$-2.13,-0.92%,$2.04,0.88%,$231.50
AAP,3832,61%,4.5-5.0%,$-1.66,-2.83%,$3.25,5.52%,$58.85
AA,6075,63%,0.5-1.0%,$-0.25,-0.42%,$2.94,4.90%,$59.95
ADI,4845,41%,4.0-4.5%,$-1.59,-0.47%,$5.35,1.59%,$337.10
ADP,3461,32%,4.0-4.5%,$-2.94,-1.39%,$6.80,3.21%,$212.11
ABT,6788,36%,4.5-5.0%,$-1.65,-1.47%,$1.97,1.75%,$112.68
AAPL,9759,41%,4.0-4.5%,$-0.10,-0.04%,$5.40,2.11%,$255.78
AES,189,56%,4.5-5.0%,$0.10,0.61%,$0.05,0.31%,$16.28
ACN,6133,36%,4.5-5.0%,$-3.12,-1.39%,$7.45,3.32%,$224.23
ABNB,9891,54%,1.0-1.5%,$0.17,0.14%,$10.25,8.45%,$121.35
AEM,873,43%,1.0-1.5%,$0.49,0.22%,$4.40,2.03%,$216.59
ADBE,12294,44%,3.0-3.5%,$-0.74,-0.28%,$18.46,6.99%,$263.97
ADSK,6157,48%,2.0-2.5%,$-0.04,-0.02%,$10.95,4.74%,$231.22
AEO,1534,60%,3.5-4.0%,$-0.16,-0.62%,$0.50,1.96%,$25.48
AGNC,93,29%,2.5-3.0%,$0.02,0.15%,$0.01,0.09%,$11.36
AFL,2162,30%,4.5-5.0%,$-0.57,-0.49%,$0.65,0.57%,$114.91
AG,1539,68%,4.0-4.5%,$-0.01,-0.03%,$1.22,5.31%,$22.96
AFRM,5322,90%,1.5-2.0%,$0.13,0.26%,$5.49,11.02%,$49.81
AGQ,2296,88%,2.0-2.5%,$-0.33,-0.25%,$22.85,17.16%,$133.16
ALAB,1712,90%,1.0-1.5%,$0.61,0.47%,$14.60,11.29%,$129.32
AMC,374,93%,2.5-3.0%,$0.20,15.96%,$0.59,47.97%,$1.23
ALT,516,126%,1.5-2.0%,$0.27,6.05%,$1.05,23.18%,$4.53
AI,2990,78%,1.5-2.0%,$0.17,1.60%,$2.37,21.99%,$10.78
AIG,2313,38%,4.0-4.5%,$-0.63,-0.81%,$0.85,1.09%,$78.27
ANVS,80,27032%,3.5-4.0%,$0.38,15.89%,$0.40,16.88%,$2.37
ALB,5000,59%,4.0-4.5%,$-2.12,-1.27%,$3.48,2.09%,$166.35
ANET,1862,57%,2.0-2.5%,$0.51,0.36%,$4.60,3.25%,$141.59
AMAT,9190,50%,3.5-4.0%,$-0.57,-0.16%,$7.31,2.06%,$354.91
AMBA,5744,71%,4.5-5.0%,$-0.04,-0.06%,$6.60,9.97%,$66.21
ALGN,7194,56%,4.5-5.0%,$-0.54,-0.29%,$22.40,11.99%,$186.77
AMD,9764,55%,0.0-0.5%,$0.51,0.25%,$11.69,5.64%,$207.32
AMGN,4044,38%,4.5-5.0%,$-3.09,-0.84%,$4.07,1.10%,$369.19
APA,1581,48%,4.0-4.5%,$-0.74,-2.64%,$0.53,1.90%,$27.92
APLD,987,115%,1.5-2.0%,$0.47,1.32%,$3.15,8.93%,$35.28
ANF,5072,65%,4.0-4.5%,$0.39,0.41%,$8.45,9.02%,$93.70
APT,288,107%,4.0-4.5%,$0.12,2.23%,$0.19,3.66%,$5.19
AMZN,7035,46%,0.0-0.5%,$0.80,0.40%,$11.32,5.69%,$198.79
ASPI,134,137%,4.5-5.0%,$0.30,5.75%,$0.15,2.87%,$5.22
ATYR,9,273%,3.0-3.5%,$0.05,5.62%,$-0.05,-5.62%,$0.89
AR,2910,60%,1.0-1.5%,$0.02,0.07%,$1.36,3.91%,$34.76
ASAN,1309,77%,3.0-3.5%,$0.15,1.98%,$2.45,32.41%,$7.56
APO,4196,46%,4.5-5.0%,$-0.83,-0.66%,$2.30,1.84%,$125.07
ARM,5102,66%,3.5-4.0%,$0.15,0.12%,$8.42,6.72%,$125.28
AUR,145,96%,0.0-0.5%,$0.11,2.55%,$0.40,8.93%,$4.48
APP,4820,76%,2.0-2.5%,$-1.75,-0.45%,$38.15,9.77%,$390.55
ASO,2893,58%,4.5-5.0%,$-0.18,-0.30%,$1.40,2.39%,$58.56
ASTS,2156,109%,4.0-4.5%,$0.58,0.70%,$4.50,5.45%,$82.51
B,517,50%,0.5-1.0%,$0.44,0.91%,$1.16,2.42%,$47.91
AVAV,1168,62%,2.5-3.0%,$-2.43,-1.00%,$12.45,5.11%,$243.87
AVGO,3439,55%,0.5-1.0%,$0.92,0.28%,$11.80,3.63%,$325.17
BBAI,280,133%,0.5-1.0%,$0.14,3.47%,$0.55,13.48%,$4.08
BB,883,84%,3.0-3.5%,$0.23,6.58%,$2.91,84.10%,$3.46
ASML,15004,46%,3.5-4.0%,$-4.46,-0.32%,$28.05,1.99%,$1406.61
AXP,8031,41%,4.5-5.0%,$-0.49,-0.15%,$3.28,0.97%,$337.50
