tier,ticker,composite_score,best_bucket,best_bucket_count,best_bucket_avg_pnl_pct,n_quotes,best_bucket_avg_spread_pct,latest_price
A,MSTR,0.7402061855670103,3.5-4.0%,91,1.57,3838,0.44,133.88
A,IONQ,0.7257731958762887,1.5-2.0%,51,1.96,2331,0.45,34.11
A,RIOT,0.7234536082474226,4.0-4.5%,63,1.4,2638,0.33,15.22
A,IREN,0.7221649484536082,1.0-1.5%,21,2.98,1227,0.36,42.22
A,SOFI,0.7134020618556701,2.5-3.0%,41,0.98,2116,0.14,19.61
A,ETSY,0.7110824742268042,2.5-3.0%,205,0.91,7637,0.5,45.73
A,MARA,0.709278350515464,2.0-2.5%,71,2.47,3325,1.58,7.92
A,SNAP,0.7077319587628866,2.0-2.5%,105,1.95,3654,0.99,4.83
A,AI,0.6948453608247422,1.5-2.0%,80,1.6,2990,0.69,10.78
A,SNOW,0.679381443298969,1.0-1.5%,255,0.46,10153,0.19,182.29
A,GME,0.6788659793814433,0.5-1.0%,64,0.93,3139,0.4,23.57
A,BB,0.668041237113402,3.0-3.5%,22,6.58,883,0.74,3.46
A,DKNG,0.6662371134020617,4.0-4.5%,131,0.63,5416,0.31,21.76
A,DJT,0.656701030927835,1.5-2.0%,49,5.43,1639,2.13,10.98
A,TDOC,0.6551546391752577,4.0-4.5%,130,1.7,4524,3.56,4.65
A,CLF,0.6533505154639174,1.5-2.0%,84,0.76,2985,0.32,10.38
A,NIO,0.6515463917525772,3.0-3.5%,65,1.3,2640,0.75,4.95
A,ENVX,0.6489690721649485,2.5-3.0%,31,4.06,1269,1.39,5.92
A,RKLB,0.645360824742268,0.0-0.5%,37,1.1,1661,0.34,67.44
A,AMZN,0.643041237113402,0.0-0.5%,177,0.4,7035,0.06,198.79
A,AAL,0.6402061855670103,3.0-3.5%,84,0.51,2691,0.12,13.88
A,HOOD,0.631701030927835,4.0-4.5%,91,0.45,3990,0.13,75.97
A,DDOG,0.631701030927835,1.0-1.5%,260,0.39,9960,0.2,125.2
A,CLSK,0.6304123711340206,1.5-2.0%,21,2.33,1053,0.8,9.85
A,ENPH,0.6291237113402062,4.5-5.0%,198,0.53,8680,0.59,43.49
A,RDDT,0.6268041237113401,0.5-1.0%,82,0.75,3358,0.49,139.65
A,APLD,0.6201030927835052,1.5-2.0%,25,1.32,987,0.34,35.28
A,ASTS,0.6201030927835052,4.0-4.5%,56,0.7,2156,0.27,82.51
A,OPEN,0.6195876288659793,1.0-1.5%,29,5.37,826,1.22,4.45
A,DASH,0.6185567010309279,4.0-4.5%,231,0.35,8012,0.18,160.34
B,WDAY,0.6154639175257732,2.5-3.0%,244,0.43,7394,0.27,144.42
B,CZR,0.611340206185567,1.5-2.0%,196,0.83,6947,1.57,18.14
B,CIFR,0.6082474226804124,2.5-3.0%,11,2.44,558,0.57,16.42
B,AMD,0.6059278350515463,0.0-0.5%,270,0.25,9764,0.05,207.32
B,SMCI,0.6056701030927835,2.0-2.5%,37,0.65,1945,0.23,30.54
B,MSOS,0.6046391752577319,4.0-4.5%,22,3.32,1128,2.67,3.96
B,HUT,0.6043814432989691,2.5-3.0%,37,1.2,1577,0.62,53.87
B,MP,0.6041237113402061,2.5-3.0%,24,1.45,963,0.48,58.03
B,BE,0.6025773195876288,2.5-3.0%,42,0.83,1961,0.42,139.74
B,PLTR,0.6020618556701032,4.0-4.5%,129,0.32,5035,0.04,131.41
B,OSCR,0.6005154639175257,3.5-4.0%,15,2.92,486,0.56,13.42
B,ZM,0.6,0.5-1.0%,234,0.44,7117,0.34,92.6
B,NET,0.5966494845360825,0.0-0.5%,219,0.27,8435,0.17,195.85
B,LRCX,0.5966494845360825,0.0-0.5%,66,0.49,2165,0.17,235.53
B,RBLX,0.5958762886597938,3.0-3.5%,223,0.3,7416,0.17,63.17
B,ASAN,0.5943298969072165,3.0-3.5%,69,1.98,1309,1.41,7.56
B,WULF,0.5938144329896907,2.0-2.5%,14,1.78,473,0.31,16.26
B,CRDO,0.5922680412371134,4.0-4.5%,28,1.67,1119,0.76,121.44
B,S,0.5891752577319588,0.5-1.0%,61,1.63,1161,0.82,13.87
B,ONON,0.5871134020618556,4.5-5.0%,102,0.52,2699,0.35,45.29
B,FSLR,0.5853092783505154,1.0-1.5%,240,0.25,9304,0.16,225.65
B,CLS,0.5837628865979382,0.5-1.0%,69,0.63,2467,0.41,280.66
B,NVDA,0.581701030927835,2.0-2.5%,86,0.31,3822,0.04,182.81
B,SOUN,0.5804123711340206,3.0-3.5%,16,2.66,734,1.19,7.46
B,RILY,0.5788659793814432,3.0-3.5%,20,3.16,896,6.17,6.82
B,ON,0.5778350515463918,3.0-3.5%,199,0.32,5768,0.2,72.21
B,ZS,0.5775773195876288,1.0-1.5%,220,0.27,8718,0.26,177.72
B,TOST,0.5770618556701032,0.5-1.0%,84,0.79,2238,0.64,27.33
B,PATH,0.5757731958762887,2.0-2.5%,42,0.93,1195,0.43,11.32
B,SYM,0.5716494845360824,3.0-3.5%,56,1.07,1814,0.94,54.95
B,UBER,0.5713917525773196,3.0-3.5%,182,0.25,6382,0.09,69.99
B,CCL,0.5706185567010309,0.5-1.0%,82,0.32,3129,0.09,31.77
B,RUM,0.5695876288659794,1.0-1.5%,14,4.21,590,2.04,5.96
B,USO,0.5693298969072165,2.5-3.0%,319,0.24,8098,0.14,76.22
B,KSS,0.568041237113402,4.0-4.5%,14,0.95,688,0.3,19.85
B,WDC,0.5667525773195876,0.5-1.0%,49,0.79,1180,0.31,281.58
B,RUN,0.5664948453608247,4.0-4.5%,47,0.73,1995,0.51,19.09
B,AAOI,0.5649484536082474,0.0-0.5%,49,1.21,1410,0.94,44.46
B,JOBY,0.5644329896907216,2.0-2.5%,22,2.22,541,0.82,9.9
B,UUUU,0.5644329896907216,0.5-1.0%,16,2.76,453,0.74,20.72
B,BMNR,0.5639175257731959,4.0-4.5%,20,1.76,738,0.81,20.96
